date,Team_1,Team_2,Winner,Margin,Ground
05-Jan-71,Australia,England,Australia,5 wickets,Melbourne
06-Jan-71,England,Australia,England,6 wickets,Manchester
07-Jan-71,England,Australia,Australia,5 wickets,Lord's
08-Jan-71,England,Australia,England,2 wickets,Birmingham
09-Jan-71,New Zealand,Pakistan,New Zealand,22 runs,Christchurch
10-Jan-71,England,New Zealand,England,7 wickets,Swansea
11-Jan-71,England,New Zealand,no result,,Manchester
12-Jan-71,England,West Indies,England,1 wicket,Leeds
13-Jan-71,England,West Indies,West Indies,8 wickets,The Oval
14-Jan-71,New Zealand,Australia,Australia,7 wickets,Dunedin
15-Jan-71,New Zealand,Australia,Australia,31 runs,Christchurch
16-Jan-71,England,India,England,4 wickets,Leeds
17-Jan-71,England,India,England,6 wickets,The Oval
18-Jan-71,England,Pakistan,Pakistan,7 wickets,Nottingham
19-Jan-71,England,Pakistan,Pakistan,8 wickets,Birmingham
20-Jan-71,Australia,England,England,3 wickets,Melbourne
21-Jan-71,New Zealand,England,no result,,Dunedin
22-Jan-71,New Zealand,England,no result,,Wellington
23-Jan-71,England,India,England,202 runs,Lord's
24-Jan-71,East Africa,New Zealand,New Zealand,181 runs,Birmingham
25-Jan-71,Australia,Pakistan,Australia,73 runs,Leeds
26-Jan-71,Sri Lanka,West Indies,West Indies,9 wickets,Manchester
27-Jan-71,England,New Zealand,England,80 runs,Nottingham
28-Jan-71,East Africa,India,India,10 wickets,Leeds
29-Jan-71,Australia,Sri Lanka,Australia,52 runs,The Oval
30-Jan-71,Pakistan,West Indies,West Indies,1 wicket,Birmingham
31-Jan-71,England,East Africa,England,196 runs,Birmingham
01-Feb-71,India,New Zealand,New Zealand,4 wickets,Manchester
02-Feb-71,Australia,West Indies,West Indies,7 wickets,The Oval
03-Feb-71,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham
04-Feb-71,England,Australia,Australia,4 wickets,Leeds
05-Feb-71,New Zealand,West Indies,West Indies,5 wickets,The Oval
06-Feb-71,Australia,West Indies,West Indies,17 runs,Lord's
07-Feb-71,Australia,West Indies,Australia,5 wickets,Adelaide
08-Feb-71,New Zealand,India,New Zealand,9 wickets,Christchurch
09-Feb-71,New Zealand,India,New Zealand,80 runs,Auckland
10-Feb-71,England,West Indies,West Indies,6 wickets,Scarborough
11-Feb-71,England,West Indies,West Indies,36 runs,Lord's
12-Feb-71,England,West Indies,West Indies,50 runs,Birmingham
13-Feb-71,Pakistan,New Zealand,New Zealand,1 run,Sialkot
14-Feb-71,West Indies,Pakistan,West Indies,4 wickets,Albion
15-Feb-71,England,Australia,England,2 wickets,Manchester
16-Feb-71,England,Australia,England,101 runs,Birmingham
17-Feb-71,England,Australia,Australia,2 wickets,The Oval
18-Feb-71,Pakistan,England,England,3 wickets,Sahiwal
19-Feb-71,Pakistan,England,England,6 wickets,Sialkot
20-Feb-71,Pakistan,England,Pakistan,36 runs,Lahore
21-Feb-71,West Indies,Australia,West Indies,44 runs,St John's
22-Feb-71,West Indies,Australia,Australia,2 wickets,Castries
23-Feb-71,England,Pakistan,England,132 runs,Manchester
24-Feb-71,England,Pakistan,England,94 runs,The Oval
25-Feb-71,England,New Zealand,England,19 runs,Scarborough
26-Feb-71,England,New Zealand,England,126 runs,Manchester
27-Feb-71,Pakistan,India,India,4 runs,Quetta
28-Feb-71,Pakistan,India,Pakistan,8 wickets,Sialkot
01-Mar-71,Pakistan,India,Pakistan,,Sahiwal
02-Mar-71,Australia,England,no result,,Sydney
03-Mar-71,Australia,England,England,7 wickets,Melbourne
04-Mar-71,Australia,England,Australia,4 wickets,Melbourne
05-Mar-71,Australia,England,Australia,6 wickets,Melbourne
06-Mar-71,India,West Indies,West Indies,9 wickets,Birmingham
07-Mar-71,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham
08-Mar-71,England,Australia,England,6 wickets,Lord's
09-Mar-71,Canada,Pakistan,Pakistan,8 wickets,Leeds
10-Mar-71,India,New Zealand,New Zealand,8 wickets,Leeds
11-Mar-71,Australia,Pakistan,Pakistan,89 runs,Nottingham
12-Mar-71,England,Canada,England,8 wickets,Manchester
13-Mar-71,India,Sri Lanka,Sri Lanka,47 runs,Manchester
14-Mar-71,New Zealand,West Indies,West Indies,32 runs,Nottingham
15-Mar-71,Australia,Canada,Australia,7 wickets,Birmingham
16-Mar-71,England,Pakistan,England,14 runs,Leeds
17-Mar-71,England,New Zealand,England,9 runs,Manchester
18-Mar-71,Pakistan,West Indies,West Indies,43 runs,The Oval
19-Mar-71,England,West Indies,West Indies,92 runs,Lord's
20-Mar-71,Australia,West Indies,Australia,5 wickets,Sydney
21-Mar-71,England,West Indies,England,2 runs,Sydney
22-Mar-71,Australia,England,England,3 wickets,Melbourne
23-Mar-71,Australia,West Indies,West Indies,80 runs,Melbourne
24-Mar-71,Australia,England,England,72 runs,Sydney
25-Mar-71,Australia,West Indies,Australia,7 runs,Sydney
26-Mar-71,England,West Indies,West Indies,9 wickets,Brisbane
27-Mar-71,Australia,England,England,4 wickets,Sydney
28-Mar-71,Australia,England,England,2 wickets,Sydney
29-Mar-71,England,West Indies,West Indies,107 runs,Adelaide
30-Mar-71,Australia,West Indies,Australia,9 runs,Sydney
31-Mar-71,England,West Indies,West Indies,2 runs,Melbourne
01-Apr-71,England,West Indies,West Indies,8 wickets,Sydney
02-Apr-71,New Zealand,West Indies,New Zealand,1 wicket,Christchurch
03-Apr-71,England,West Indies,West Indies,24 runs,Leeds
04-Apr-71,England,West Indies,England,3 wickets,Lord's
05-Apr-71,England,Australia,England,23 runs,The Oval
06-Apr-71,England,Australia,England,47 runs,Birmingham
07-Apr-71,Pakistan,West Indies,West Indies,4 wickets,Karachi
08-Apr-71,Australia,New Zealand,New Zealand,3 wickets,Adelaide
09-Apr-71,Australia,New Zealand,Australia,94 runs,Sydney
10-Apr-71,Pakistan,West Indies,West Indies,7 wickets,Sialkot
11-Apr-71,Australia,India,India,66 runs,Melbourne
12-Apr-71,Australia,New Zealand,Australia,4 wickets,Melbourne
13-Apr-71,India,New Zealand,India,5 runs,Perth
14-Apr-71,Australia,India,Australia,9 wickets,Sydney
15-Apr-71,Pakistan,West Indies,West Indies,7 runs,Lahore
16-Apr-71,India,New Zealand,New Zealand,3 wickets,Brisbane
17-Apr-71,India,New Zealand,India,6 runs,Adelaide
18-Apr-71,Australia,India,Australia,9 wickets,Sydney
19-Apr-71,India,New Zealand,New Zealand,10 wickets,Melbourne
20-Apr-71,Australia,India,Australia,7 wickets,Melbourne
21-Apr-71,Australia,New Zealand,New Zealand,1 run,Sydney
22-Apr-71,Australia,India,Australia,27 runs,Sydney
23-Apr-71,India,New Zealand,New Zealand,22 runs,Brisbane
24-Apr-71,Australia,New Zealand,no result,,Sydney
25-Apr-71,Australia,New Zealand,New Zealand,78 runs,Sydney
26-Apr-71,Australia,New Zealand,Australia,7 wickets,Melbourne
27-Apr-71,Australia,New Zealand,Australia,6 runs,Melbourne
28-Apr-71,Australia,New Zealand,Australia,6 wickets,Sydney
29-Apr-71,West Indies,England,West Indies,2 runs,Kingstown
30-Apr-71,New Zealand,India,New Zealand,78 runs,Auckland
01-May-71,New Zealand,India,New Zealand,57 runs,Hamilton
02-May-71,West Indies,England,West Indies,6 wickets,Albion
03-May-71,England,Australia,England,6 wickets,Lord's
04-May-71,England,Australia,Australia,2 runs,Birmingham
05-May-71,England,Australia,Australia,71 runs,Leeds
06-May-71,Pakistan,West Indies,West Indies,18 runs,Melbourne
07-May-71,Australia,Pakistan,Pakistan,4 wickets,Melbourne
08-May-71,Australia,West Indies,Australia,7 wickets,Sydney
09-May-71,India,England,England,5 wickets,Ahmedabad
10-May-71,Pakistan,West Indies,Pakistan,8 runs,Adelaide
11-May-71,Australia,Pakistan,Australia,38 runs,Adelaide
12-May-71,Australia,Pakistan,Pakistan,6 wickets,Sydney
13-May-71,Pakistan,West Indies,West Indies,7 wickets,Perth
14-May-71,Australia,West Indies,West Indies,8 wickets,Perth
15-May-71,India,England,India,6 wickets,Jalandhar
16-May-71,Australia,Pakistan,Pakistan,25 runs,Melbourne
17-May-71,Australia,West Indies,West Indies,5 wickets,Melbourne
18-May-71,Pakistan,West Indies,West Indies,7 wickets,Sydney
19-May-71,Australia,Pakistan,Australia,76 runs,Sydney
20-May-71,Pakistan,West Indies,West Indies,1 wicket,Brisbane
21-May-71,Australia,West Indies,West Indies,5 wickets,Brisbane
22-May-71,Australia,West Indies,Australia,5 runs,Sydney
23-May-71,Australia,West Indies,West Indies,86 runs,Melbourne
24-May-71,Australia,West Indies,West Indies,128 runs,Melbourne
25-May-71,Australia,West Indies,Australia,46 runs,Sydney
26-May-71,Australia,West Indies,West Indies,18 runs,Sydney
27-May-71,India,England,India,5 wickets,Cuttack
28-May-71,New Zealand,Australia,New Zealand,46 runs,Auckland
29-May-71,Sri Lanka,England,England,5 runs,Colombo (SSC)
30-May-71,Sri Lanka,England,Sri Lanka,3 runs,Colombo (SSC)
31-May-71,New Zealand,Australia,Australia,6 wickets,Dunedin
01-Jun-71,New Zealand,Australia,Australia,8 wickets,Wellington
02-Jun-71,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi
03-Jun-71,Pakistan,Sri Lanka,Sri Lanka,30 runs,Lahore
04-Jun-71,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi
05-Jun-71,England,India,England,9 wickets,Leeds
06-Jun-71,England,India,England,114 runs,The Oval
07-Jun-71,England,Pakistan,England,7 wickets,Nottingham
08-Jun-71,England,Pakistan,England,73 runs,Manchester
09-Jun-71,India,Sri Lanka,India,78 runs,Amritsar
10-Jun-71,India,Sri Lanka,India,6 wickets,Delhi
11-Jun-71,Pakistan,Australia,Pakistan,59 runs,Hyderabad (Sind)
12-Jun-71,India,Sri Lanka,India,6 wickets,Bengaluru
13-Jun-71,Pakistan,Australia,Pakistan,28 runs,Lahore
14-Jun-71,Pakistan,Australia,no result,,Karachi
15-Jun-71,Pakistan,India,Pakistan,14 runs,Gujranwala
16-Jun-71,Pakistan,India,Pakistan,37 runs,Multan
17-Jun-71,Pakistan,India,India,18 runs,Lahore
18-Jun-71,Australia,New Zealand,Australia,8 wickets,Melbourne
19-Jun-71,Australia,England,Australia,31 runs,Sydney
20-Jun-71,England,New Zealand,New Zealand,2 runs,Melbourne
21-Jun-71,England,New Zealand,England,54 runs,Brisbane
22-Jun-71,Australia,England,Australia,7 wickets,Brisbane
23-Jun-71,Australia,New Zealand,New Zealand,47 runs,Sydney
24-Jun-71,England,New Zealand,England,8 wickets,Sydney
25-Jun-71,Pakistan,India,Pakistan,8 wickets,Karachi
26-Jun-71,Australia,New Zealand,New Zealand,58 runs,Melbourne
27-Jun-71,Australia,England,Australia,5 wickets,Melbourne
28-Jun-71,Australia,England,England,98 runs,Sydney
29-Jun-71,England,New Zealand,New Zealand,4 wickets,Adelaide
30-Jun-71,Australia,England,England,14 runs,Adelaide
01-Jul-71,Australia,New Zealand,New Zealand,47 runs,Adelaide
02-Jul-71,England,New Zealand,New Zealand,7 wickets,Perth
03-Jul-71,Australia,New Zealand,Australia,27 runs,Perth
04-Jul-71,Australia,New Zealand,Australia,6 wickets,Sydney
05-Jul-71,Australia,New Zealand,Australia,149 runs,Melbourne
06-Jul-71,New Zealand,England,New Zealand,6 wickets,Auckland
07-Jul-71,New Zealand,England,New Zealand,103 runs,Wellington
08-Jul-71,New Zealand,England,New Zealand,84 runs,Christchurch
09-Jul-71,New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin
10-Jul-71,West Indies,India,West Indies,52 runs,Port of Spain
11-Jul-71,Australia,New Zealand,New Zealand,14 runs,Sydney
12-Jul-71,New Zealand,Sri Lanka,New Zealand,7 wickets,Napier
