date,Team_1,Team_2,Winner,Margin,Ground
08-Jan-15,Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai
10-Jan-15,Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC)
11-Jan-15,New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch
12-Jan-15,Ireland,Scotland,Ireland,3 wickets,Dubai (DSC)
14-Jan-15,Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi
15-Jan-15,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton
16-Jan-15,Australia,England,Australia,3 wickets,Sydney
16-Jan-15,South Africa,West Indies,South Africa,61 runs,Durban
17-Jan-15,New Zealand,Sri Lanka,no result,,Auckland
17-Jan-15,Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC)
18-Jan-15,Australia,India,Australia,4 wickets,Melbourne
18-Jan-15,South Africa,West Indies,South Africa,148 runs,Johannesburg
19-Jan-15,Ireland,Scotland,no result,,ICCA Dubai
20-Jan-15,New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson
20-Jan-15,England,India,England,9 wickets,Brisbane
21-Jan-15,South Africa,West Indies,South Africa,9 wickets,East London
23-Jan-15,New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin
23-Jan-15,Australia,England,Australia,3 wickets,Hobart
25-Jan-15,New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin
25-Jan-15,South Africa,West Indies,West Indies,1 wicket,Gqeberha
26-Jan-15,Australia,India,no result,,Sydney
28-Jan-15,South Africa,West Indies,South Africa,131 runs,Centurion
29-Jan-15,New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington
30-Jan-15,England,India,England,3 wickets,Perth
31-Jan-15,New Zealand,Pakistan,New Zealand,7 wickets,Wellington
01-Feb-15,Australia,England,Australia,112 runs,Perth
03-Feb-15,New Zealand,Pakistan,New Zealand,119 runs,Napier
14-Feb-15,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch
14-Feb-15,Australia,England,Australia,111 runs,Melbourne
15-Feb-15,South Africa,Zimbabwe,South Africa,62 runs,Hamilton
15-Feb-15,India,Pakistan,India,76 runs,Adelaide
16-Feb-15,Ireland,West Indies,Ireland,4 wickets,Nelson
17-Feb-15,New Zealand,Scotland,New Zealand,3 wickets,Dunedin
18-Feb-15,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra
19-Feb-15,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson
